ベアレン醸造所,〒020-0061　岩手県盛岡市北山一丁目3-31観光,本場ヨーロッパの伝統的な醸造技術を尊重、その製造工程をパネル展示し案内、1900年頃に作られたモルトミル「麦芽粉砕機」をはじめ、100年ほど前から使われていたドイツの小さな醸造所からそのまま移設した仕込み室、現在は使われていない貴重な醸造設備などを説明つきで展示している。売店ではビールの試飲も常時用意しており、全商品の販売を行っている。
盛岡市中央卸売市場,〒020-8567　岩手県盛岡市羽場10-100観光,中央卸売市場の役割や生鮮食品の流通について説明を受けながら、施設見学ができる。
もりおか歴史文化館,〒020-0023　岩手県盛岡市内丸1番50号観光,2011年7月に開館した文化施設。1階では盛岡の観光情報や伝統文化を紹介し、2階では城下町盛岡の成立過程や盛岡藩主南部家に関する資料を展示しております。
遺跡の学び館,〒020-0866　岩手県盛岡市本宮字荒屋13-1観光,歴史遺産の保存と活用の拠点として、埋蔵文化財調査で発掘した出土品の整理や収蔵を行い、分かりやすく展示している。また、文化財に関する書籍や資料も備え、企画展や講座も開催している。
岩手県公会堂,〒020-0023　岩手県盛岡市内丸11-2観光,岩手県公会堂は，皇太子であった昭和天皇の御成婚を記念して建設が計画され，1925年（大正14年）9月の着工から1927年（昭和2年）6月の竣工まで，約2年の工期と総額43万8000円の建設費を投じて建設された。　設計は，東京の日比谷公会堂や早稲田大学大隈講堂の設計で知られる佐藤功一博士で，近代コンクリート建築の先駆け。創建当時の公会堂は，県会議事堂，大ホール，西洋料理店，皇族方の宿泊所と，4つの用途を備えていた。間口44メートル，奥行48メートルの規模で，鉄筋コンクリート造地下1階地上2階建，陸屋根となっている。玄関奥を階段室，その奥を中庭とし，後部にホールを置く。中央に高さ約24メートル・6 層の塔屋を設け，外壁をスクラッチタイル貼とし，外部に柱形を現して垂直性を強調しているのが特徴です。　　幾度かの改修が行われましたが，内部には漆喰の美しいレリーフや，優雅な曲線のバルコニーなど，創建当時の面影を伝えるアール・デコ様式の意匠が残されており，現在も会議室を主体とした施設として市民・県民に利用されています。
マリオス展望室,〒020-0045　岩手県盛岡市盛岡駅西通2-9-1 マリオス最上階観光,盛岡の街並み，北上川，雫石川の流れ，岩手山，早池峰山，姫神山などの高峰を一望できる地上20階（92ｍ）からの眺めはまさに絶景です。
いーはとーぶアベニュー材木町,岩手県盛岡市材木町観光,宮沢賢治ゆかりの民芸品店（「注文の多い料理店」の出版元）をはじめ、陶器、木綿、漆器、木工家具などていねいな仕事を重んじる店が軒を並べ、最近は骨董店やミニギャラリーも通りに趣を添える。　宮沢賢治ゆかりの６つのモニュメントが通りに並び、4月〜11月下旬までの毎週土曜日の夕刻には「よ市」が開催される。通りの商店街だけではなく近郊の農家も店を並べ、イベントも開催され、市民や観光客など多くの人で賑わう。
高松の池,〒020-0114　岩手県盛岡市高松1-26-1観光,上田堤が造られたのは、南部２６代藩主信直公が三戸より盛岡に移り、盛岡城築城を開始した慶長年間から寛永年間といわれています。当時、上田方面は湿地帯で、池方面からの浸水が町づくりの大きな障害となったため、治水を目的として、上田に三段の堤防が築かれました。この上堤、中堤、下堤のうち、最も大きかった中堤が、現在の高松の池となって残っています。上田堤付近は南部公の鷹狩りの場であり、また、松林の美しさが有名であったことにちなんで「高松の池」と名付けられたと伝えられています。　明治22年市制施行と共に公園化が進められ、サクラ以外にもボタン園・アヤメ園・バラ園等を整備し、風致公園として市民に親しまれています。平成元年に「日本さくらの名所100選」に選ばれました。
天峰山,〒020-0201　岩手県盛岡市玉山区日戸字姥懐観光,姫神山の横長尾根（南山麓）に位置し，尼寺がある。岩手山を中心とした山並，北上川の流域が見渡せる牧歌的風景の高原。
御所湖温泉,〒020-0572　岩手県岩手郡雫石町西安庭27-4-1観光,繋温泉から鴬宿温泉に向う波光きらめく御所湖西岸の温泉で，広々とした駐車場を完備。女性には美肌効果もあると評判のお湯で昨今人気が高い。
黒崎仙峡温泉,〒029-2208　岩手県陸前高田市広田町字黒崎9-41観光,目の前に太平洋の雄大な景色を望む温泉。浴室から展望するリアス式海岸の壮大な眺めが最高。
岩手公園ホタルの里,〒020-0023　岩手県盛岡市内丸 岩手公園梅林下観光,岩手公園のように、市の中心部でホタルが観察できるのは、とてもめずらしい。7月中旬に行われる「ホタル観賞会」では、参加した市民の心をゲンジボタルやヘイケボタルがなごませてくれる。
&fnof;z&fnof;e&fnof;&lsaquo;&circ;À&rdquo;ä&fnof;O&fnof;&permil;&fnof;&ldquo;&fnof;h,§028-7396 @&Scaron;â&#x17D;è&OElig;§&rdquo;ª&rdquo;¦&bull;½&#x17D;s&circ;À&rdquo;ä?&sbquo;&OElig;´&Scaron;Ï&OElig;õ,&Scaron;â&#x17D;è&OElig;§&sbquo;É&sbquo; &sbquo;é&ldquo;ú&ndash;{&mdash;L?&rdquo;&sbquo;Ì&fnof;I [&fnof;&lsaquo;&fnof;V [&fnof;Y&fnof;&ldquo;&fnof;&Scaron;&fnof;] [&fnof;g u&circ;À&rdquo;ä?&sbquo;&OElig;´ v B&sbquo;»&sbquo;Ì&circ;À&rdquo;ä?&sbquo;&OElig;´&sbquo;Ì&fnof;&permil;&fnof;&ldquo;&fnof;h&fnof;} [&fnof;N&sbquo;É&sbquo;È&sbquo;Á&sbquo;Ä&sbquo;¢&sbquo;é&sbquo;Ì&sbquo;ª&fnof;z&fnof;e&fnof;&lsaquo;&circ;À&rdquo;ä&fnof;O&fnof;&permil;&fnof;&ldquo;&fnof;h&fnof;z&fnof;e&fnof;&lsaquo; B&fnof;Q&fnof;&OElig;&fnof;&ldquo;&fnof;f&fnof;T&fnof;C&fnof;h&sbquo;É&mdash;§&rsquo;n&sbquo;µ A&fnof;X&fnof;L [&fnof;&bdquo; [ E&fnof;X&fnof;m [&fnof;{ [&fnof;_ [&sbquo;É?â?D&sbquo;Ì&fnof;?&fnof;P [&fnof;V&fnof;&Dagger;&fnof;&ldquo; B?t&sbquo;©&sbquo;ç?H&sbquo;É&sbquo;©&sbquo;¯&sbquo;Ä&sbquo;à A&lsquo;O?X&#x17D;R&fnof;S&fnof;&ldquo;&fnof;h&fnof;&permil;&mdash;V&mdash;&mdash; E&fnof;e&fnof;j&fnof;X E&fnof;p [&fnof;N&fnof;S&fnof;&lsaquo;&fnof;t&sbquo;Æ&mdash;Y&lsquo;å&sbquo;È&#x17D;©&lsquo;R&sbquo;Ì&rsquo;&dagger; A&bull; &rsquo;i&sbquo;Í&sbquo;Å&sbquo;«&sbquo;È&sbquo;¢&fnof;A&fnof;E&fnof;g&fnof;h&fnof;A&fnof;&permil;&fnof;C&fnof;t&sbquo;ð&Scaron;y&sbquo;µ&sbquo;ß&sbquo;é B&sbquo;Ü&sbquo;½ A&fnof;z&fnof;e&fnof;&lsaquo;&ldquo;à&sbquo;É&sbquo;Í&tilde;a E&mdash;m E&rsquo;&dagger; E?Ä&ldquo;÷&fnof;&OElig;&fnof;X&fnof;g&fnof;&permil;&fnof;&ldquo;&sbquo;ª&sbquo; &sbquo;è?D&sbquo;Ý&sbquo;É?&Dagger;&sbquo;í&sbquo;¹&sbquo;Ä?H&#x17D;&ndash;&sbquo;à&Scaron;y&sbquo;µ&sbquo;ß&sbquo;é B&sbquo;Ü&sbquo;½&ldquo;V&lsquo;R&permil;·?ò uAPPI&permil;·?ò&fnof;p&fnof;e&fnof;B&fnof;I v&sbquo;à&rdquo;õ&sbquo;¦&sbquo;Ä&sbquo;¨&sbquo;è A&ldquo;ú&lsaquo;A&sbquo;è&sbquo;Å&sbquo;Ì&mdash;&tilde;&mdash;p&sbquo;à&permil;Â&rdquo;\ B
